LSOA Code,LSOA Name,LA Code (2019 boundaries),LA name (2019 boundaries),LA Code (2020 boundaries),LA name (2020 boundaries),All Ages,0-15,16-29,30-44,45-64,65
E01018813,Cornwall 064C,E06000052,Cornwall,E06000052,Cornwall,"1,584",269,205,290,486,334
E01018814,Cornwall 064D,E06000052,Cornwall,E06000052,Cornwall,"1,395",220,221,214,406,334
E01018815,Cornwall 032A,E06000052,Cornwall,E06000052,Cornwall,"2,288",474,283,432,722,377
E01018816,Cornwall 047A,E06000052,Cornwall,E06000052,Cornwall,"1,648",221,142,151,478,656
E01018817,Cornwall 047B,E06000052,Cornwall,E06000052,Cornwall,"2,050",312,188,283,607,660
E01018818,Cornwall 047C,E06000052,Cornwall,E06000052,Cornwall,"1,695",250,157,211,446,631
E01018819,Cornwall 043A,E06000052,Cornwall,E06000052,Cornwall,"1,503",231,263,273,423,313
E01018820,Cornwall 047D,E06000052,Cornwall,E06000052,Cornwall,"1,883",346,250,305,550,432
E01018821,Cornwall 047E,E06000052,Cornwall,E06000052,Cornwall,"1,764",384,258,374,449,299
E01018822,Cornwall 043B,E06000052,Cornwall,E06000052,Cornwall,"1,337",244,166,216,371,340
E01018823,Cornwall 042A,E06000052,Cornwall,E06000052,Cornwall,"1,539",187,211,237,415,489
E01018824,Cornwall 042B,E06000052,Cornwall,E06000052,Cornwall,"2,778",634,362,476,716,590
E01018825,Cornwall 040A,E06000052,Cornwall,E06000052,Cornwall,"1,689",364,181,340,485,319
E01018826,Cornwall 040B,E06000052,Cornwall,E06000052,Cornwall,"2,390",433,307,428,650,572
E01018827,Cornwall 056A,E06000052,Cornwall,E06000052,Cornwall,"1,651",264,245,171,389,582
E01018828,Cornwall 056B,E06000052,Cornwall,E06000052,Cornwall,"1,479",204,161,177,408,529
E01018829,Cornwall 056C,E06000052,Cornwall,E06000052,Cornwall,"1,413",242,166,196,453,356
E01018830,Cornwall 056D,E06000052,Cornwall,E06000052,Cornwall,"1,631",238,157,212,466,558
E01018831,Cornwall 032B,E06000052,Cornwall,E06000052,Cornwall,"1,459",317,184,227,441,290
E01018832,Cornwall 032C,E06000052,Cornwall,E06000052,Cornwall,"1,378",256,134,254,403,331
E01018833,Cornwall 033A,E06000052,Cornwall,E06000052,Cornwall,"1,680",312,201,253,505,409
E01018834,Cornwall 060A,E06000052,Cornwall,E06000052,Cornwall,"2,016",356,458,330,539,333
E01018835,Cornwall 060B,E06000052,Cornwall,E06000052,Cornwall,"2,039",255,798,322,373,291
E01018836,Cornwall 060C,E06000052,Cornwall,E06000052,Cornwall,"1,677",258,534,298,371,216
E01018837,Cornwall 060D,E06000052,Cornwall,E06000052,Cornwall,"2,607",435,740,480,508,444
E01018838,Cornwall 062A,E06000052,Cornwall,E06000052,Cornwall,"1,614",241,460,253,379,281
E01018839,Cornwall 062B,E06000052,Cornwall,E06000052,Cornwall,"1,107",97,317,163,264,266
E01018840,Cornwall 062C,E06000052,Cornwall,E06000052,Cornwall,"1,702",120,921,172,280,209
E01018841,Cornwall 062D,E06000052,Cornwall,E06000052,Cornwall,"1,496",313,334,253,367,229
E01018842,Cornwall 033B,E06000052,Cornwall,E06000052,Cornwall,"1,569",288,149,278,475,379
E01018843,Cornwall 033C,E06000052,Cornwall,E06000052,Cornwall,"1,482",301,109,230,396,446
E01018844,Cornwall 033D,E06000052,Cornwall,E06000052,Cornwall,"1,206",204,114,232,330,326
