LSOA Code,LSOA Name,LA Code (2019 boundaries),LA name (2019 boundaries),LA Code (2020 boundaries),LA name (2020 boundaries),All Ages,0-15,16-29,30-44,45-64,65
E01019019,Cornwall 021B,E06000052,Cornwall,E06000052,Cornwall,"1,726",295,234,259,480,458
E01019020,Cornwall 021C,E06000052,Cornwall,E06000052,Cornwall,"1,499",222,279,344,455,199
E01019021,Cornwall 021D,E06000052,Cornwall,E06000052,Cornwall,"1,412",210,194,232,398,378
E01019022,Cornwall 021E,E06000052,Cornwall,E06000052,Cornwall,"1,859",348,236,345,493,437
E01019023,Cornwall 021F,E06000052,Cornwall,E06000052,Cornwall,"1,913",439,290,464,470,250
E01019024,Cornwall 035A,E06000052,Cornwall,E06000052,Cornwall,"1,474",198,188,196,442,450
E01019025,Cornwall 035B,E06000052,Cornwall,E06000052,Cornwall,"1,687",220,164,203,504,596
E01019026,Cornwall 035C,E06000052,Cornwall,E06000052,Cornwall,"1,535",186,158,176,481,534
E01019027,Cornwall 035D,E06000052,Cornwall,E06000052,Cornwall,"1,361",173,137,147,420,484
E01019028,Cornwall 020A,E06000052,Cornwall,E06000052,Cornwall,"2,285",369,312,564,576,464
E01019029,Cornwall 020B,E06000052,Cornwall,E06000052,Cornwall,"1,490",192,277,312,387,322
E01019030,Cornwall 020C,E06000052,Cornwall,E06000052,Cornwall,"1,976",308,287,390,579,412
E01019031,Cornwall 020D,E06000052,Cornwall,E06000052,Cornwall,"1,652",236,192,309,476,439
E01019032,Cornwall 038A,E06000052,Cornwall,E06000052,Cornwall,"1,377",230,154,201,405,387
E01019033,Cornwall 039A,E06000052,Cornwall,E06000052,Cornwall,"1,445",266,243,207,386,343
E01019034,Cornwall 038B,E06000052,Cornwall,E06000052,Cornwall,"1,533",289,230,237,491,286
E01019035,Cornwall 027A,E06000052,Cornwall,E06000052,Cornwall,"1,654",222,144,208,516,564
E01019036,Cornwall 027B,E06000052,Cornwall,E06000052,Cornwall,"1,892",272,201,263,615,541
E01019037,Cornwall 027C,E06000052,Cornwall,E06000052,Cornwall,"1,475",261,191,189,455,379
E01019038,Cornwall 041A,E06000052,Cornwall,E06000052,Cornwall,"1,112",96,95,99,358,464
E01019039,Cornwall 041B,E06000052,Cornwall,E06000052,Cornwall,"1,377",176,128,129,394,550
E01019040,Cornwall 041C,E06000052,Cornwall,E06000052,Cornwall,"1,288",173,147,134,396,438
E01019041,Cornwall 039B,E06000052,Cornwall,E06000052,Cornwall,"1,970",432,347,316,417,458
E01019042,Cornwall 039C,E06000052,Cornwall,E06000052,Cornwall,"1,834",340,317,341,471,365
E01019043,Cornwall 039D,E06000052,Cornwall,E06000052,Cornwall,"2,010",380,289,306,518,517
E01019044,Cornwall 039E,E06000052,Cornwall,E06000052,Cornwall,"1,469",211,132,181,416,529
E01019045,Cornwall 038C,E06000052,Cornwall,E06000052,Cornwall,"2,785",528,474,521,701,561
E01019046,Cornwall 039F,E06000052,Cornwall,E06000052,Cornwall,"1,420",277,231,243,386,283
E01019047,Cornwall 038D,E06000052,Cornwall,E06000052,Cornwall,"1,618",270,231,261,417,439
E01019048,Cornwall 018A,E06000052,Cornwall,E06000052,Cornwall,"1,873",256,184,299,599,535
E01019049,Cornwall 018B,E06000052,Cornwall,E06000052,Cornwall,"3,447",819,459,819,815,535
E01019050,Cornwall 018C,E06000052,Cornwall,E06000052,Cornwall,"1,805",328,277,320,489,391
E01019051,Cornwall 018D,E06000052,Cornwall,E06000052,Cornwall,"1,661",326,191,306,444,394
E01019052,Cornwall 024A,E06000052,Cornwall,E06000052,Cornwall,"2,089",377,293,370,634,415
E01019053,Cornwall 024B,E06000052,Cornwall,E06000052,Cornwall,"2,179",391,288,398,617,485
E01019054,Cornwall 024C,E06000052,Cornwall,E06000052,Cornwall,"2,091",444,306,352,582,407
E01019055,Cornwall 024D,E06000052,Cornwall,E06000052,Cornwall,"1,534",302,256,271,423,282
E01019056,Cornwall 031A,E06000052,Cornwall,E06000052,Cornwall,"1,527",319,253,254,402,299
E01019057,Cornwall 031B,E06000052,Cornwall,E06000052,Cornwall,"1,918",328,276,341,481,492
E01019058,Cornwall 031C,E06000052,Cornwall,E06000052,Cornwall,"2,192",428,346,384,591,443
E01019059,Cornwall 031D,E06000052,Cornwall,E06000052,Cornwall,"1,473",222,197,192,442,420
E01019060,Cornwall 019A,E06000052,Cornwall,E06000052,Cornwall,"1,623",241,150,259,474,499
E01019061,Cornwall 019B,E06000052,Cornwall,E06000052,Cornwall,"1,913",381,260,343,519,410
E01019062,Cornwall 019C,E06000052,Cornwall,E06000052,Cornwall,"2,083",491,260,392,518,422
E01019063,Cornwall 019D,E06000052,Cornwall,E06000052,Cornwall,"2,134",400,282,401,588,463
E01019064,Cornwall 019E,E06000052,Cornwall,E06000052,Cornwall,"2,251",462,285,418,606,480
E01019065,Cornwall 019F,E06000052,Cornwall,E06000052,Cornwall,"1,428",315,198,276,349,290
E01019066,Cornwall 041D,E06000052,Cornwall,E06000052,Cornwall,"1,417",221,178,219,416,383
E01019067,Cornwall 041E,E06000052,Cornwall,E06000052,Cornwall,"1,250",163,113,168,377,429
E01019068,Cornwall 041F,E06000052,Cornwall,E06000052,Cornwall,"1,586",196,156,157,471,606
E01019069,Cornwall 030A,E06000052,Cornwall,E06000052,Cornwall,"1,314",244,207,236,423,204
E01019070,Cornwall 030B,E06000052,Cornwall,E06000052,Cornwall,"2,207",469,320,354,617,447
E01019071,Cornwall 030C,E06000052,Cornwall,E06000052,Cornwall,"1,770",336,275,265,524,370
E01019072,Cornwall 030D,E06000052,Cornwall,E06000052,Cornwall,"1,527",317,237,243,416,314
E01019073,Cornwall 030E,E06000052,Cornwall,E06000052,Cornwall,"1,598",286,198,250,479,385
E01019074,Cornwall 027D,E06000052,Cornwall,E06000052,Cornwall,"2,020",428,366,351,549,326
E01019075,Cornwall 027E,E06000052,Cornwall,E06000052,Cornwall,"1,890",337,263,310,584,396
E01019076,Cornwall 027F,E06000052,Cornwall,E06000052,Cornwall,"2,088",457,285,428,547,371
E01033289,Cornwall 007E,E06000052,Cornwall,E06000052,Cornwall,"2,150",306,206,276,577,785
E01033291,Cornwall 004D,E06000052,Cornwall,E06000052,Cornwall,"1,724",298,182,229,497,518
E01033292,Cornwall 004E,E06000052,Cornwall,E06000052,Cornwall,"1,688",420,302,354,385,227
E01033294,Cornwall 034E,E06000052,Cornwall,E06000052,Cornwall,"2,335",349,354,386,737,509
